year,scope1_kt,scope2_kt,scope3_kt,revenue_bn_usd,employees_k,electricity_gwh,carbon_free_energy_pct,total_kt,company,total_tco2e,intensity_revenue,intensity_employee,scope2_per_kwh_grams,yoy_change_pct,vs_2019_pct
2019,9200.0,4300.0,37670.0,280.5,798.0,27000,42,51170.0,Amazon,51170000.0,182.42424242424244,64.12280701754386,159.25925925925927,,0.0
2020,11300.0,3000.0,41300.0,386.1,1298.0,36000,65,55600.0,Amazon,55600000.0,144.004144004144,42.835130970724194,83.33333333333333,8.657416454954081,8.657416454954074
2021,13100.0,2800.0,48500.0,469.8,1622.0,44000,85,64400.0,Amazon,64400000.0,137.07960834397616,39.70406905055487,63.63636363636363,15.827338129496393,25.85499316005472
2022,13200.0,3200.0,54800.0,513.9,1541.0,46000,90,71200.0,Amazon,71200000.0,138.54835571122786,46.203763789746915,69.56521739130434,10.559006211180133,39.14402970490522
2023,14100.0,2850.0,51870.0,574.8,1525.0,49600,100,68820.0,Amazon,68820000.0,119.72860125260961,45.12786885245902,57.45967741935484,-3.342696629213482,34.49286691420754
