year,scope1_kt,scope2_kt,scope3_kt,revenue_bn_usd,employees_k,electricity_gwh,carbon_free_energy_pct,total_kt,company,total_tco2e,intensity_revenue,intensity_employee,scope2_per_kwh_grams,yoy_change_pct,vs_2019_pct
2019,81.9,1050.0,3578.0,161.9,118.9,12378,61,4709.9,Google (Alphabet),4709900.0,29.091414453366276,39.61227922624054,84.82792050412021,,0.0
2020,80.0,900.0,3510.0,182.5,135.3,15440,63,4490.0,Google (Alphabet),4490000.0,24.602739726027398,33.18551367331855,58.29015544041451,-4.668888936070825,-4.668888936070823
2021,84.6,1230.0,3840.0,257.6,156.5,18646,66,5154.6,Google (Alphabet),5154600.0,20.01009316770186,32.936741214057506,65.96589080767993,14.801781737193775,9.441814051253758
2022,91.2,8460.0,4100.0,282.8,186.8,21213,64,12651.2,Google (Alphabet),12651200.0,44.735502121640735,67.72591006423983,398.81204921510397,145.43514530710434,168.60867534342557
2023,79.4,11600.0,2631.0,307.4,182.5,24153,64,14310.4,Google (Alphabet),14310400.0,46.5530253741054,78.41315068493151,480.27160187140316,13.114961426584038,203.83659950317417
